Variable / Field Name,Variable Category,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
codestatus,Categorical,extend_followup,,dropdown,Code Status at time of Terlipressin Treatment,"0, DNR | 1, Full Code",,,,,,,,,,,,
daydischarge_4,Numerical,extend_followup,,text,1 Year Post index Hospitalization:,,,date_mdy,,,y,,,,,,,"@CALCDATE([dc_date], 1, 'y')"
efu_readmit,Categorical,extend_followup,,yesno,Was this patient readmitted within 1 year following index hospitalization?,,,,,,,,,,,,,
efu_readmitdate,Not used,extend_followup,,text,Date of first hospital readmission,,,date_mdy,,,,[efu_readmit] = '1',,,,,,
efu_daysreadmit,Numerical,extend_followup,,calc,Days from admission to first readmission,"rounddown((datediff([admit_date],[efu_readmitdate],""d"",""mdy"",true)),1)",,,,,,[efu_readmit] = '1',,,,,,
efu_readmit_cirrhosiscomp,Categorical,extend_followup,,yesno,"Was the readmission related to cirrhosis (ascites, HE, infection, bleeding, etc.)?",,,,,,,[efu_readmit] = '1',,,,,,
efu_readmitaki,Categorical,extend_followup,,yesno,Was the readmission related to an Acute Kidney Injury ?,,,,,,,[efu_readmit] = '1',,,,,,
efu_readmitscr,Numerical,extend_followup,,text,Serum Creatinine at time of readmission:,,mg/dL,,,,,[efu_readmit] = '1',,,,,,
efu_status,Categorical,extend_followup,,yesno,Is the subject alive?,,At the time of data entry,,,,,,,,,,,
efu_lastencounter,Not used,extend_followup,,text,Date of Last Follow-up,,,date_mdy,,,y,[efu_status] = '1',,,,,,
efu_dayslastencounter,Numerical,extend_followup,,calc,Days from admission to last follow-up,"rounddown((datediff([admit_date],[efu_lastencounter],""d"",""mdy"")),1)",,,,,,[efu_status] = '1',,,,,,
efu_dod,Not used,extend_followup,,text,Date of Death,,,date_mdy,,,y,[efu_status] = '0',,,,,,
efu_daysdod,Numerical,extend_followup,,calc,Days from Admission to Death,"rounddown((datediff([admit_date],[efu_dod],""d"",""mdy"")),1)",,,,,,[efu_status] = '0',,,,,,
efu_rrt,Categorical,extend_followup,,yesno,Was Renal Replacement Therapy (RRT) initiated after index discharge?,,iHD or CRRT,,,,,,,,,,,
efu_rrtstartdate,Not used,extend_followup,,text,Date of RRT initiation,,,date_mdy,,,y,[efu_rrt]  = '1',,,,,,
efu_daysrrtstart,Numerical,extend_followup,,calc,Days from admission to RRT initiation,"rounddown((datediff([admit_date],[efu_rrtstartdate],""d"",""mdy"")),1)",,,,,,[efu_rrt]  = '1',,,,,,
efu_listingstatus,Categorical,extend_followup,,yesno,Was this patient listed for Liver Transplant at any point?,,,,,,,,,,,,,
efu_listingdate,Not used,extend_followup,,text,Date of Listing,,,date_mdy,,,y,[efu_listingstatus] = '1',,,,,,
efu_dayslisting,Numerical,extend_followup,,calc,Days from Admission to Listing,"rounddown((datediff([admit_date],[efu_listingdate],""d"",""mdy"",true)),1)",,,,,,[efu_listingstatus] = '1',,,,,,
