"","level","Overall","0","1","p","test","Missing"
"n","","243","161","82","","",""
"age (median [IQR])","","57.60 [50.00, 63.95]","57.10 [49.10, 63.60]","58.10 [50.92, 64.27]","0.553","nonnorm","0.0"
"sex_male (%)","0","98 (40.3)","56 (34.8)","42 (51.2)","0.020","","0.0"
"","1","145 (59.7)","105 (65.2)","40 (48.8)","","",""
"race (%)","1","207 (85.9)","137 (86.2)","70 (85.4)","0.760","","0.8"
"","2","9 (3.7)","5 (3.1)","4 (4.9)","","",""
"","3","4 (1.7)","2 (1.3)","2 (2.4)","","",""
"","4","21 (8.7)","15 (9.4)","6 (7.3)","","",""
"BMI (median [IQR])","","29.33 [24.34, 33.60]","29.45 [24.34, 33.90]","28.18 [24.44, 33.24]","0.912","nonnorm","0.4"
"cirrhosis_etiology (%)","1","135 (55.6)","102 (63.4)","33 (40.2)","0.001","","0.0"
"","2","44 (18.1)","22 (13.7)","22 (26.8)","","",""
"","3","6 (2.5)","4 (2.5)","2 (2.4)","","",""
"","4","15 (6.2)","13 (8.1)","2 (2.4)","","",""
"","5","15 (6.2)","8 (5.0)","7 (8.5)","","",""
"","6","28 (11.5)","12 (7.5)","16 (19.5)","","",""
"he_previous_comp (%)","0","98 (40.7)","70 (44.0)","28 (34.1)","0.180","","0.8"
"","1","143 (59.3)","89 (56.0)","54 (65.9)","","",""
"ascites_previous_comp (%)","0","32 (13.2)","24 (14.9)","8 (9.8)","0.356","","0.0"
"","1","211 (86.8)","137 (85.1)","74 (90.2)","","",""
"refascites_previous_comp (%)","0","92 (45.1)","76 (56.7)","16 (22.9)","<0.001","","16.0"
"","1","112 (54.9)","58 (43.3)","54 (77.1)","","",""
"sbp_previous_comp (%)","0","196 (81.3)","133 (83.1)","63 (77.8)","0.406","","0.8"
"","1","45 (18.7)","27 (16.9)","18 (22.2)","","",""
"nonsbp_previous_comp (%)","0","188 (80.0)","128 (82.1)","60 (75.9)","0.351","","3.3"
"","1","47 (20.0)","28 (17.9)","19 (24.1)","","",""
"phtn_bleed_previous_comp (%)","0","184 (76.0)","118 (73.3)","66 (81.5)","0.212","","0.4"
"","1","58 (24.0)","43 (26.7)","15 (18.5)","","",""
"hcc_previous_comp (%)","0","222 (91.7)","152 (94.4)","70 (86.4)","0.060","","0.4"
"","1","20 (8.3)","9 (5.6)","11 (13.6)","","",""
"tips_previous_comp (%)","0","222 (91.4)","142 (88.2)","80 (97.6)","0.027","","0.0"
"","1","21 (8.6)","19 (11.8)","2 (2.4)","","",""
"aki_previous_90days (%)","0","143 (59.6)","95 (59.7)","48 (59.3)","1.000","","1.2"
"","1","97 (40.4)","64 (40.3)","33 (40.7)","","",""
"mido_preadmission (%)","0","154 (66.1)","107 (69.0)","47 (60.3)","0.235","","4.1"
"","1","79 (33.9)","48 (31.0)","31 (39.7)","","",""
"oct_before_terli (%)","0","120 (49.6)","73 (45.3)","47 (58.0)","0.084","","0.4"
"","1","122 (50.4)","88 (54.7)","34 (42.0)","","",""
"pressors_aki (%)","0","215 (90.0)","145 (91.8)","70 (86.4)","0.282","","1.6"
"","1","24 (10.0)","13 (8.2)","11 (13.6)","","",""
"admit_meld_3 (median [IQR])","","31.00 [27.00, 37.00]","31.00 [27.00, 37.00]","31.00 [26.25, 36.00]","0.812","nonnorm","0.0"
"day0_meld_3 (median [IQR])","","35.00 [29.00, 39.75]","35.50 [28.00, 40.00]","35.00 [31.00, 39.00]","0.959","nonnorm","23.5"
"baseline_scr_new (median [IQR])","","1.10 [0.84, 1.48]","1.09 [0.80, 1.43]","1.22 [0.92, 1.60]","0.096","nonnorm","0.0"
"baseline_scr (median [IQR])","","1.24 [0.88, 1.72]","1.20 [0.80, 1.67]","1.29 [0.93, 1.78]","0.303","nonnorm","0.4"
"tbili_admit (median [IQR])","","5.00 [2.35, 16.35]","5.65 [2.60, 18.15]","3.40 [2.00, 12.25]","0.051","nonnorm","3.3"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.50, 2.30]","1.80 [1.50, 2.40]","0.678","nonnorm","2.9"
"sodium_admit (median [IQR])","","132.00 [127.00, 135.00]","132.50 [127.75, 136.00]","131.00 [127.00, 135.00]","0.563","nonnorm","3.7"
"albumin_admit (median [IQR])","","3.00 [2.62, 3.60]","2.90 [2.40, 3.50]","3.30 [2.80, 3.80]","<0.001","nonnorm","3.7"
"aclf_grade (median [IQR])","","2.00 [2.00, 3.00]","2.00 [2.00, 3.00]","2.00 [2.00, 3.00]","0.604","nonnorm","0.0"
"clif_c_score (median [IQR])","","41.38 [36.19, 47.82]","41.47 [36.27, 47.64]","41.32 [36.19, 47.87]","0.647","nonnorm","3.7"
"icu_admit (%)","0","114 (47.1)","81 (50.6)","33 (40.2)","0.163","","0.4"
"","1","128 (52.9)","79 (49.4)","49 (59.8)","","",""
"criteria_1 (%)","0","215 (88.5)","138 (85.7)","77 (93.9)","0.093","","0.0"
"","1","28 (11.5)","23 (14.3)","5 (6.1)","","",""
"criteria_2 (%)","0","134 (55.1)","92 (57.1)","42 (51.2)","0.458","","0.0"
"","1","109 (44.9)","69 (42.9)","40 (48.8)","","",""
"criteria_3 (%)","0","233 (95.9)","152 (94.4)","81 (98.8)","0.200","","0.0"
"","1","10 (4.1)","9 (5.6)","1 (1.2)","","",""
"criteria_4 (%)","0","230 (94.7)","149 (92.5)","81 (98.8)","0.082","","0.0"
"","1","13 (5.3)","12 (7.5)","1 (1.2)","","",""
"alb_terli_discont_day (median [IQR])","","3.50 [3.20, 3.90]","3.50 [3.20, 3.80]","3.60 [3.30, 4.10]","0.103","nonnorm","13.2"
"terli_route_day0 (%)","1","207 (85.2)","137 (85.1)","70 (85.4)","1.000","","0.0"
"","2","36 (14.8)","24 (14.9)","12 (14.6)","","",""
