"","level","Overall","0","1","2","p","test","Missing"
"n","","82","36","19","27","","",""
"age (median [IQR])","","58.10 [50.92, 64.27]","57.35 [50.55, 65.25]","58.10 [51.15, 63.55]","59.30 [51.40, 64.20]","0.836","nonnorm","0.0"
"sex_male (%)","0","42 (51.2)","17 (47.2)","13 (68.4)","12 (44.4)","0.226","","0.0"
"","1","40 (48.8)","19 (52.8)","6 (31.6)","15 (55.6)","","",""
"race (%)","1","70 (85.4)","31 (86.1)","17 (89.5)","22 (81.5)","0.628","","0.0"
"","2","4 (4.9)","1 (2.8)","2 (10.5)","1 (3.7)","","",""
"","3","2 (2.4)","1 (2.8)","0 (0.0)","1 (3.7)","","",""
"","4","6 (7.3)","3 (8.3)","0 (0.0)","3 (11.1)","","",""
"BMI (median [IQR])","","28.18 [24.44, 33.24]","28.16 [23.36, 33.60]","29.66 [24.12, 33.16]","28.29 [25.33, 33.20]","0.948","nonnorm","1.2"
"cirrhosis_etiology (%)","1","33 (40.2)","12 (33.3)","9 (47.4)","12 (44.4)","0.936","","0.0"
"","2","22 (26.8)","12 (33.3)","4 (21.1)","6 (22.2)","","",""
"","3","2 (2.4)","1 (2.8)","1 (5.3)","0 (0.0)","","",""
"","4","2 (2.4)","1 (2.8)","0 (0.0)","1 (3.7)","","",""
"","5","7 (8.5)","3 (8.3)","1 (5.3)","3 (11.1)","","",""
"","6","16 (19.5)","7 (19.4)","4 (21.1)","5 (18.5)","","",""
"he_previous_comp (%)","0","28 (34.1)","16 (44.4)","7 (36.8)","5 (18.5)","0.096","","0.0"
"","1","54 (65.9)","20 (55.6)","12 (63.2)","22 (81.5)","","",""
"ascites_previous_comp (%)","0","8 (9.8)","6 (16.7)","1 (5.3)","1 (3.7)","0.173","","0.0"
"","1","74 (90.2)","30 (83.3)","18 (94.7)","26 (96.3)","","",""
"refascites_previous_comp (%)","0","16 (22.9)","9 (30.0)","4 (23.5)","3 (13.0)","0.345","","14.6"
