"","level","Overall","0","1","p","test","Missing"
"n","","82","36","46","","",""
"age (median [IQR])","","58.10 [50.92, 64.27]","57.35 [50.55, 65.25]","58.70 [51.20, 64.12]","0.664","nonnorm","0.0"
"sex_male (%)","0","42 (51.2)","17 (47.2)","25 (54.3)","0.676","","0.0"
"","1","40 (48.8)","19 (52.8)","21 (45.7)","","",""
"race (%)","1","70 (85.4)","31 (86.1)","39 (84.8)","0.872","","0.0"
"","2","4 (4.9)","1 (2.8)","3 (6.5)","","",""
"","3","2 (2.4)","1 (2.8)","1 (2.2)","","",""
"","4","6 (7.3)","3 (8.3)","3 (6.5)","","",""
"BMI (median [IQR])","","28.18 [24.44, 33.24]","28.16 [23.36, 33.60]","28.97 [24.66, 33.19]","0.746","nonnorm","1.2"
"cirrhosis_etiology (%)","1","33 (40.2)","12 (33.3)","21 (45.7)","0.871","","0.0"
"","2","22 (26.8)","12 (33.3)","10 (21.7)","","",""
"","3","2 (2.4)","1 (2.8)","1 (2.2)","","",""
"","4","2 (2.4)","1 (2.8)","1 (2.2)","","",""
"","5","7 (8.5)","3 (8.3)","4 (8.7)","","",""
"","6","16 (19.5)","7 (19.4)","9 (19.6)","","",""
"he_previous_comp (%)","0","28 (34.1)","16 (44.4)","12 (26.1)","0.132","","0.0"
"","1","54 (65.9)","20 (55.6)","34 (73.9)","","",""
"ascites_previous_comp (%)","0","8 (9.8)","6 (16.7)","2 (4.3)","0.136","","0.0"
"","1","74 (90.2)","30 (83.3)","44 (95.7)","","",""
"refascites_previous_comp (%)","0","16 (22.9)","9 (30.0)","7 (17.5)","0.345","","14.6"
"","1","54 (77.1)","21 (70.0)","33 (82.5)","","",""
"sbp_previous_comp (%)","0","63 (77.8)","32 (88.9)","31 (68.9)","0.060","","1.2"
"","1","18 (22.2)","4 (11.1)","14 (31.1)","","",""
"nonsbp_previous_comp (%)","0","60 (75.9)","24 (68.6)","36 (81.8)","0.270","","3.7"
"","1","19 (24.1)","11 (31.4)","8 (18.2)","","",""
"phtn_bleed_previous_comp (%)","0","66 (81.5)","29 (80.6)","37 (82.2)","1.000","","1.2"
"","1","15 (18.5)","7 (19.4)","8 (17.8)","","",""
"hcc_previous_comp (%)","0","70 (86.4)","31 (86.1)","39 (86.7)","1.000","","1.2"
"","1","11 (13.6)","5 (13.9)","6 (13.3)","","",""
"tips_previous_comp (%)","0","80 (97.6)","34 (94.4)","46 (100.0)","0.370","","0.0"
"","1","2 (2.4)","2 (5.6)","0 (0.0)","","",""
"aki_previous_90days (%)","0","48 (59.3)","21 (58.3)","27 (60.0)","1.000","","1.2"
"","1","33 (40.7)","15 (41.7)","18 (40.0)","","",""
"mido_preadmission (%)","0","47 (60.3)","23 (63.9)","24 (57.1)","0.708","","4.9"
"","1","31 (39.7)","13 (36.1)","18 (42.9)","","",""
"oct_before_terli (%)","0","47 (58.0)","20 (55.6)","27 (60.0)","0.860","","1.2"
"","1","34 (42.0)","16 (44.4)","18 (40.0)","","",""
"pressors_aki (%)","0","70 (86.4)","32 (88.9)","38 (84.4)","0.800","","1.2"
"","1","11 (13.6)","4 (11.1)","7 (15.6)","","",""
"admit_meld_3 (median [IQR])","","31.00 [26.25, 36.00]","31.00 [25.50, 36.25]","31.00 [27.25, 36.00]","0.966","nonnorm","0.0"
"day0_meld_3 (median [IQR])","","35.00 [31.00, 39.00]","35.50 [32.00, 39.00]","35.00 [29.50, 39.00]","0.777","nonnorm","19.5"
"baseline_scr_new (median [IQR])","","1.22 [0.92, 1.60]","1.15 [0.91, 1.48]","1.25 [0.92, 1.66]","0.422","nonnorm","0.0"
"baseline_scr (median [IQR])","","1.29 [0.93, 1.78]","1.28 [0.91, 1.57]","1.35 [0.98, 1.78]","0.408","nonnorm","1.2"
"tbili_admit (median [IQR])","","3.40 [2.00, 12.25]","2.90 [1.92, 17.25]","3.60 [2.30, 10.60]","0.945","nonnorm","3.7"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.52, 2.55]","1.80 [1.50, 2.40]","0.953","nonnorm","3.7"
"sodium_admit (median [IQR])","","131.00 [127.00, 135.00]","132.00 [128.00, 134.75]","131.00 [127.00, 135.00]","0.972","nonnorm","4.9"
"albumin_admit (median [IQR])","","3.30 [2.80, 3.80]","3.20 [2.80, 3.68]","3.40 [2.90, 3.90]","0.225","nonnorm","3.7"
"aclf_grade (median [IQR])","","2.00 [2.00, 3.00]","3.00 [2.00, 3.00]","2.00 [2.00, 3.00]","0.659","nonnorm","0.0"
