"","level","Overall","0","1","p","test","Missing"
"n","","82","64","18","","",""
"age (median [IQR])","","58.10 [50.92, 64.27]","57.90 [50.82, 64.72]","58.45 [53.95, 62.98]","0.745","nonnorm","0.0"
"sex_male (%)","0","42 (51.2)","30 (46.9)","12 (66.7)","0.224","","0.0"
"","1","40 (48.8)","34 (53.1)","6 (33.3)","","",""
"race (%)","1","70 (85.4)","54 (84.4)","16 (88.9)","0.870","","0.0"
"","2","4 (4.9)","3 (4.7)","1 (5.6)","","",""
"","3","2 (2.4)","2 (3.1)","0 (0.0)","","",""
"","4","6 (7.3)","5 (7.8)","1 (5.6)","","",""
"BMI (median [IQR])","","28.18 [24.44, 33.24]","28.17 [23.64, 33.59]","30.76 [25.68, 32.55]","0.963","nonnorm","1.2"
"cirrhosis_etiology (%)","1","33 (40.2)","26 (40.6)","7 (38.9)","0.576","","0.0"
"","2","22 (26.8)","18 (28.1)","4 (22.2)","","",""
"","3","2 (2.4)","2 (3.1)","0 (0.0)","","",""
"","4","2 (2.4)","2 (3.1)","0 (0.0)","","",""
"","5","7 (8.5)","6 (9.4)","1 (5.6)","","",""
"","6","16 (19.5)","10 (15.6)","6 (33.3)","","",""
"he_previous_comp (%)","0","28 (34.1)","21 (32.8)","7 (38.9)","0.842","","0.0"
"","1","54 (65.9)","43 (67.2)","11 (61.1)","","",""
"ascites_previous_comp (%)","0","8 (9.8)","8 (12.5)","0 (0.0)","0.259","","0.0"
"","1","74 (90.2)","56 (87.5)","18 (100.0)","","",""
"refascites_previous_comp (%)","0","16 (22.9)","9 (17.0)","7 (41.2)","0.083","","14.6"
"","1","54 (77.1)","44 (83.0)","10 (58.8)","","",""
"sbp_previous_comp (%)","0","63 (77.8)","49 (77.8)","14 (77.8)","1.000","","1.2"
"","1","18 (22.2)","14 (22.2)","4 (22.2)","","",""
"nonsbp_previous_comp (%)","0","60 (75.9)","47 (77.0)","13 (72.2)","0.915","","3.7"
"","1","19 (24.1)","14 (23.0)","5 (27.8)","","",""
"phtn_bleed_previous_comp (%)","0","66 (81.5)","49 (77.8)","17 (94.4)","0.207","","1.2"
"","1","15 (18.5)","14 (22.2)","1 (5.6)","","",""
