"","level","Overall","0","1","p","test","Missing"
"n","","82","47","35","","",""
"age (median [IQR])","","58.10 [50.92, 64.27]","55.20 [49.90, 63.35]","61.20 [52.85, 66.65]","0.041","nonnorm","0.0"
"sex_male (%)","0","42 (51.2)","22 (46.8)","20 (57.1)","0.482","","0.0"
"","1","40 (48.8)","25 (53.2)","15 (42.9)","","",""
"race (%)","1","70 (85.4)","42 (89.4)","28 (80.0)","0.186","","0.0"
"","2","4 (4.9)","3 (6.4)","1 (2.9)","","",""
"","3","2 (2.4)","1 (2.1)","1 (2.9)","","",""
"","4","6 (7.3)","1 (2.1)","5 (14.3)","","",""
"BMI (median [IQR])","","28.18 [24.44, 33.24]","27.89 [24.47, 32.88]","30.70 [23.87, 33.50]","0.789","nonnorm","1.2"
"cirrhosis_etiology (%)","1","33 (40.2)","19 (40.4)","14 (40.0)","0.900","","0.0"
"","2","22 (26.8)","12 (25.5)","10 (28.6)","","",""
"","3","2 (2.4)","1 (2.1)","1 (2.9)","","",""
"","4","2 (2.4)","2 (4.3)","0 (0.0)","","",""
"","5","7 (8.5)","4 (8.5)","3 (8.6)","","",""
"","6","16 (19.5)","9 (19.1)","7 (20.0)","","",""
"he_previous_comp (%)","0","28 (34.1)","17 (36.2)","11 (31.4)","0.832","","0.0"
"","1","54 (65.9)","30 (63.8)","24 (68.6)","","",""
"ascites_previous_comp (%)","0","8 (9.8)","5 (10.6)","3 (8.6)","1.000","","0.0"
"","1","74 (90.2)","42 (89.4)","32 (91.4)","","",""
"refascites_previous_comp (%)","0","16 (22.9)","9 (22.5)","7 (23.3)","1.000","","14.6"
"","1","54 (77.1)","31 (77.5)","23 (76.7)","","",""
"sbp_previous_comp (%)","0","63 (77.8)","36 (78.3)","27 (77.1)","1.000","","1.2"
"","1","18 (22.2)","10 (21.7)","8 (22.9)","","",""
"nonsbp_previous_comp (%)","0","60 (75.9)","36 (80.0)","24 (70.6)","0.482","","3.7"
"","1","19 (24.1)","9 (20.0)","10 (29.4)","","",""
"phtn_bleed_previous_comp (%)","0","66 (81.5)","36 (78.3)","30 (85.7)","0.571","","1.2"
"","1","15 (18.5)","10 (21.7)","5 (14.3)","","",""
"hcc_previous_comp (%)","0","70 (86.4)","41 (89.1)","29 (82.9)","0.625","","1.2"
"","1","11 (13.6)","5 (10.9)","6 (17.1)","","",""
"tips_previous_comp (%)","0","80 (97.6)","46 (97.9)","34 (97.1)","1.000","","0.0"
"","1","2 (2.4)","1 (2.1)","1 (2.9)","","",""
"aki_previous_90days (%)","0","48 (59.3)","27 (58.7)","21 (60.0)","1.000","","1.2"
"","1","33 (40.7)","19 (41.3)","14 (40.0)","","",""
"mido_preadmission (%)","0","47 (60.3)","29 (64.4)","18 (54.5)","0.517","","4.9"
"","1","31 (39.7)","16 (35.6)","15 (45.5)","","",""
"oct_before_terli (%)","0","47 (58.0)","28 (60.9)","19 (54.3)","0.713","","1.2"
"","1","34 (42.0)","18 (39.1)","16 (45.7)","","",""
"pressors_aki (%)","0","70 (86.4)","38 (82.6)","32 (91.4)","0.412","","1.2"
"","1","11 (13.6)","8 (17.4)","3 (8.6)","","",""
"admit_meld_3 (median [IQR])","","31.00 [26.25, 36.00]","30.00 [26.00, 35.00]","33.00 [30.00, 37.00]","0.028","nonnorm","0.0"
"day0_meld_3 (median [IQR])","","35.00 [31.00, 39.00]","34.00 [28.50, 38.50]","37.00 [32.50, 41.50]","0.051","nonnorm","19.5"
"baseline_scr_new (median [IQR])","","1.22 [0.92, 1.60]","1.08 [0.89, 1.40]","1.31 [1.00, 1.84]","0.067","nonnorm","0.0"
"baseline_scr (median [IQR])","","1.29 [0.93, 1.78]","1.26 [0.92, 1.66]","1.36 [1.00, 1.94]","0.324","nonnorm","1.2"
"tbili_admit (median [IQR])","","3.40 [2.00, 12.25]","3.40 [2.00, 12.70]","3.35 [2.08, 11.50]","0.964","nonnorm","3.7"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.50, 2.40]","1.90 [1.60, 2.40]","0.316","nonnorm","3.7"
"sodium_admit (median [IQR])","","131.00 [127.00, 135.00]","131.00 [127.00, 135.00]","132.50 [127.25, 135.00]","0.568","nonnorm","4.9"
"albumin_admit (median [IQR])","","3.30 [2.80, 3.80]","3.30 [2.90, 3.70]","3.40 [2.80, 3.80]","0.714","nonnorm","3.7"
"aclf_grade (median [IQR])","","2.00 [2.00, 3.00]","2.00 [2.00, 3.00]","2.00 [2.00, 3.00]","0.988","nonnorm","0.0"
"clif_c_score (median [IQR])","","41.32 [36.19, 47.87]","38.59 [32.95, 45.38]","45.00 [38.83, 49.24]","0.006","nonnorm","3.7"
"icu_admit (%)","0","33 (40.2)","25 (53.2)","8 (22.9)","0.011","","0.0"
"","1","49 (59.8)","22 (46.8)","27 (77.1)","","",""
"criteria_1 (%)","0","77 (93.9)","45 (95.7)","32 (91.4)","0.733","","0.0"
"","1","5 (6.1)","2 (4.3)","3 (8.6)","","",""
"criteria_2 (%)","0","42 (51.2)","24 (51.1)","18 (51.4)","1.000","","0.0"
"","1","40 (48.8)","23 (48.9)","17 (48.6)","","",""
"criteria_3 (%)","0","81 (98.8)","47 (100.0)","34 (97.1)","0.882","","0.0"
"","1","1 (1.2)","0 (0.0)","1 (2.9)","","",""
"criteria_4 (%)","0","81 (98.8)","47 (100.0)","34 (97.1)","0.882","","0.0"
"","1","1 (1.2)","0 (0.0)","1 (2.9)","","",""
"alb_terli_discont_day (median [IQR])","","3.60 [3.30, 4.10]","3.50 [3.20, 4.10]","3.60 [3.40, 4.20]","0.380","nonnorm","9.8"
"terli_route_day0 (%)","1","70 (85.4)","40 (85.1)","30 (85.7)","1.000","","0.0"
"","2","12 (14.6)","7 (14.9)","5 (14.3)","","",""
"Discont_Day (median [IQR])","","4.00 [2.00, 6.00]","4.00 [3.00, 6.00]","2.00 [1.00, 4.00]","<0.001","nonnorm","0.0"
"albumin_before_terli (%)","0","8 (9.8)","5 (10.6)","3 (8.6)","1.000","","0.0"
"","1","74 (90.2)","42 (89.4)","32 (91.4)","","",""
"totalalbumin_before_terli (median [IQR])","","200.00 [112.50, 300.00]","200.00 [112.50, 300.00]","150.00 [103.12, 300.00]","0.247","nonnorm","11.0"
"hrs_responders (%)","0","36 (43.9)","15 (31.9)","21 (60.0)","0.040","","0.0"
"","1","19 (23.2)","13 (27.7)","6 (17.1)","","",""
"","2","27 (32.9)","19 (40.4)","8 (22.9)","","",""
"hrs_responders_cat_2 (%)","0","36 (43.9)","15 (31.9)","21 (60.0)","0.021","","0.0"
"","1","46 (56.1)","32 (68.1)","14 (40.0)","","",""
"map_day0 (median [IQR])","","74.67 [69.50, 80.50]","75.25 [68.67, 80.67]","74.41 [70.54, 79.21]","0.888","nonnorm","0.0"
