"","level","Overall","0","1","p","test","Missing"
"n","","82","65","17","","",""
"age (median [IQR])","","58.10 [50.92, 64.27]","56.40 [50.10, 63.80]","61.40 [57.00, 67.70]","0.043","nonnorm","0.0"
"sex_male (%)","0","42 (51.2)","34 (52.3)","8 (47.1)","0.910","","0.0"
"","1","40 (48.8)","31 (47.7)","9 (52.9)","","",""
"race (%)","1","70 (85.4)","54 (83.1)","16 (94.1)","0.610","","0.0"
"","2","4 (4.9)","4 (6.2)","0 (0.0)","","",""
"","3","2 (2.4)","2 (3.1)","0 (0.0)","","",""
"","4","6 (7.3)","5 (7.7)","1 (5.9)","","",""
"BMI (median [IQR])","","28.18 [24.44, 33.24]","27.92 [24.17, 33.34]","30.49 [27.02, 33.16]","0.772","nonnorm","1.2"
"cirrhosis_etiology (%)","1","33 (40.2)","25 (38.5)","8 (47.1)","0.811","","0.0"
"","2","22 (26.8)","17 (26.2)","5 (29.4)","","",""
"","3","2 (2.4)","2 (3.1)","0 (0.0)","","",""
"","4","2 (2.4)","2 (3.1)","0 (0.0)","","",""
"","5","7 (8.5)","5 (7.7)","2 (11.8)","","",""
"","6","16 (19.5)","14 (21.5)","2 (11.8)","","",""
"he_previous_comp (%)","0","28 (34.1)","21 (32.3)","7 (41.2)","0.690","","0.0"
"","1","54 (65.9)","44 (67.7)","10 (58.8)","","",""
"ascites_previous_comp (%)","0","8 (9.8)","6 (9.2)","2 (11.8)","1.000","","0.0"
"","1","74 (90.2)","59 (90.8)","15 (88.2)","","",""
"refascites_previous_comp (%)","0","16 (22.9)","12 (21.4)","4 (28.6)","0.831","","14.6"
"","1","54 (77.1)","44 (78.6)","10 (71.4)","","",""
"sbp_previous_comp (%)","0","63 (77.8)","51 (79.7)","12 (70.6)","0.636","","1.2"
"","1","18 (22.2)","13 (20.3)","5 (29.4)","","",""
"nonsbp_previous_comp (%)","0","60 (75.9)","49 (79.0)","11 (64.7)","0.366","","3.7"
"","1","19 (24.1)","13 (21.0)","6 (35.3)","","",""
"phtn_bleed_previous_comp (%)","0","66 (81.5)","52 (81.2)","14 (82.4)","1.000","","1.2"
"","1","15 (18.5)","12 (18.8)","3 (17.6)","","",""
"hcc_previous_comp (%)","0","70 (86.4)","57 (89.1)","13 (76.5)","0.343","","1.2"
"","1","11 (13.6)","7 (10.9)","4 (23.5)","","",""
"tips_previous_comp (%)","0","80 (97.6)","63 (96.9)","17 (100.0)","1.000","","0.0"
