"","level","Overall","0","1","p","test","Missing"
"n","","220","136","84","","",""
"efu_readmit (%)","0","107 (48.9)","76 (56.3)","31 (36.9)","0.008","","0.5"
"","1","112 (51.1)","59 (43.7)","53 (63.1)","","",""
"efu_daysreadmit (median [IQR])","","48.00 [29.00, 90.00]","53.00 [32.50, 114.00]","43.00 [29.00, 84.00]","0.258","nonnorm","49.1"
"efu_readmit_cirrhosiscomp (%)","0","30 (26.8)","9 (15.3)","21 (39.6)","0.007","","49.1"
"","1","82 (73.2)","50 (84.7)","32 (60.4)","","",""
"efu_readmitaki (%)","0","70 (62.5)","39 (66.1)","31 (58.5)","0.525","","49.1"
"","1","42 (37.5)","20 (33.9)","22 (41.5)","","",""
"efu_readmitscr (median [IQR])","","1.90 [1.35, 2.83]","2.02 [1.44, 3.17]","1.68 [1.34, 2.54]","0.150","nonnorm","50.9"
"efu_status (%)","0","133 (61.6)","107 (80.5)","26 (31.3)","<0.001","","1.8"
"","1","83 (38.4)","26 (19.5)","57 (68.7)","","",""
"efu_dayslastencounter (median [IQR])","","731.50 [83.50, 953.75]","121.00 [29.50, 747.50]","842.00 [650.50, 1096.50]","<0.001","nonnorm","42.7"
"efu_daysdod (median [IQR])","","37.00 [20.00, 123.00]","37.50 [18.75, 97.75]","36.00 [27.00, 185.00]","0.780","nonnorm","39.5"
"efu_rrt (%)","0","179 (84.0)","119 (90.8)","60 (73.2)","0.001","","3.2"
"","1","34 (16.0)","12 (9.2)","22 (26.8)","","",""
"efu_daysrrtstart (median [IQR])","","18.50 [13.00, 48.75]","17.00 [13.50, 38.50]","23.00 [12.00, 49.50]","0.875","nonnorm","80.9"
"efu_dayslisting (median [IQR])","","12.00 [6.00, 38.00]","1437.00 [1437.00, 1437.00]","12.00 [6.00, 38.00]","0.087","nonnorm","61.4"
"efu_listing (%)","0","141 (68.1)","124 (99.2)","17 (20.7)","<0.001","","5.9"
"","1","66 (31.9)","1 (0.8)","65 (79.3)","","",""
"efu_dayswlremoval (median [IQR])","","32.50 [17.50, 79.25]","11.00 [11.00, 11.00]","33.00 [20.00, 81.50]","0.178","nonnorm","83.6"
"efu_lt (%)","0","152 (70.7)","131 (99.2)","21 (25.3)","<0.001","","2.3"
"","1","63 (29.3)","1 (0.8)","62 (74.7)","","",""
"efu_dayslt (median [IQR])","","30.00 [15.00, 67.50]","40.00 [40.00, 40.00]","28.50 [15.00, 70.75]","0.660","nonnorm","71.4"
"efu_slkt (%)","0","50 (79.4)","1 (100.0)","49 (79.0)","1.000","","71.4"
"","1","13 (20.6)","0 (0.0)","13 (21.0)","","",""
"efu_kal (%)","0","56 (86.2)","2 (66.7)","54 (87.1)","0.885","","70.5"
"","1","9 (13.8)","1 (33.3)","8 (12.9)","","",""
"efu_dayskal (median [IQR])","","44.00 [27.00, 349.00]","306.00 [306.00, 306.00]","37.50 [26.00, 366.25]","0.699","nonnorm","95.9"
"efu_ltrrt (%)","0","42 (65.6)","1 (50.0)","41 (66.1)","1.000","","70.9"
"","1","22 (34.4)","1 (50.0)","21 (33.9)","","",""
"efu_ltna (median [IQR])","","136.00 [133.00, 140.00]","135.00 [135.00, 135.00]","136.00 [133.00, 140.00]","0.674","nonnorm","71.8"
"efu_lttbili (median [IQR])","","3.90 [2.38, 12.35]","8.60 [8.60, 8.60]","3.80 [2.30, 12.90]","0.485","nonnorm","71.8"
"efu_ltscr (median [IQR])","","1.90 [1.56, 3.12]","3.26 [3.26, 3.26]","1.90 [1.56, 3.09]","0.328","nonnorm","71.8"
"efu_lt_albumin (median [IQR])","","3.35 [3.00, 3.88]","2.50 [2.50, 2.50]","3.40 [3.00, 3.90]","0.251","nonnorm","71.8"
