"","level","Overall","0","1","p","test","Missing"
"n","","220","136","84","","",""
"age (median [IQR])","","57.70 [50.25, 64.12]","56.85 [47.70, 64.30]","59.20 [53.77, 63.95]","0.160","nonnorm","0.0"
"sex_male (%)","0","84 (38.2)","46 (33.8)","38 (45.2)","0.121","","0.0"
"","1","136 (61.8)","90 (66.2)","46 (54.8)","","",""
"race (%)","1","188 (86.2)","113 (84.3)","75 (89.3)","0.371","","0.9"
"","2","6 (2.8)","4 (3.0)","2 (2.4)","","",""
"","3","3 (1.4)","1 (0.7)","2 (2.4)","","",""
"","4","21 (9.6)","16 (11.9)","5 (6.0)","","",""
"cirrhosis_etiology (%)","1","122 (55.5)","88 (64.7)","34 (40.5)","0.003","","0.0"
"","2","41 (18.6)","18 (13.2)","23 (27.4)","","",""
"","3","5 (2.3)","4 (2.9)","1 (1.2)","","",""
"","4","13 (5.9)","9 (6.6)","4 (4.8)","","",""
"","5","13 (5.9)","5 (3.7)","8 (9.5)","","",""
"","6","26 (11.8)","12 (8.8)","14 (16.7)","","",""
"he_previous_comp (%)","0","94 (43.1)","65 (48.5)","29 (34.5)","0.059","","0.9"
"","1","124 (56.9)","69 (51.5)","55 (65.5)","","",""
"ascites_previous_comp (%)","0","30 (13.6)","23 (16.9)","7 (8.3)","0.110","","0.0"
"","1","190 (86.4)","113 (83.1)","77 (91.7)","","",""
"refascites_previous_comp (%)","0","81 (44.3)","58 (53.7)","23 (30.7)","0.003","","16.8"
"","1","102 (55.7)","50 (46.3)","52 (69.3)","","",""
"sbp_previous_comp (%)","0","179 (82.1)","115 (85.2)","64 (77.1)","0.184","","0.9"
"","1","39 (17.9)","20 (14.8)","19 (22.9)","","",""
"nonsbp_previous_comp (%)","0","166 (78.3)","103 (78.6)","63 (77.8)","1.000","","3.6"
"","1","46 (21.7)","28 (21.4)","18 (22.2)","","",""
"phtn_bleed_previous_comp (%)","0","166 (75.8)","104 (77.0)","62 (73.8)","0.704","","0.5"
"","1","53 (24.2)","31 (23.0)","22 (26.2)","","",""
"hcc_previous_comp (%)","0","203 (92.7)","129 (95.6)","74 (88.1)","0.073","","0.5"
