"","level","Overall","0","1","p","test","Missing"
"n","","221","149","72","","",""
"efu_readmit (%)","0","108 (49.1)","77 (52.0)","31 (43.1)","0.269","","0.5"
"","1","112 (50.9)","71 (48.0)","41 (56.9)","","",""
"efu_daysreadmit (median [IQR])","","48.00 [29.00, 90.00]","47.00 [26.00, 98.00]","50.00 [35.00, 89.00]","0.506","nonnorm","49.3"
"efu_readmit_cirrhosiscomp (%)","0","30 (26.8)","10 (14.1)","20 (48.8)","<0.001","","49.3"
"","1","82 (73.2)","61 (85.9)","21 (51.2)","","",""
"efu_readmitaki (%)","0","70 (62.5)","43 (60.6)","27 (65.9)","0.723","","49.3"
"","1","42 (37.5)","28 (39.4)","14 (34.1)","","",""
"efu_readmitscr (median [IQR])","","1.90 [1.35, 2.83]","1.92 [1.38, 2.86]","1.72 [1.35, 2.81]","0.482","nonnorm","51.1"
"efu_status (%)","0","134 (61.8)","108 (74.0)","26 (36.6)","<0.001","","1.8"
"","1","83 (38.2)","38 (26.0)","45 (63.4)","","",""
"efu_dayslastencounter (median [IQR])","","731.50 [83.50, 953.75]","316.00 [36.25, 778.00]","866.00 [664.50, 1106.50]","<0.001","nonnorm","43.0"
"efu_daysdod (median [IQR])","","36.50 [19.25, 117.25]","38.00 [18.00, 97.00]","34.00 [23.00, 185.00]","0.846","nonnorm","39.4"
"efu_rrt (%)","0","180 (84.1)","125 (87.4)","55 (77.5)","0.094","","3.2"
"","1","34 (15.9)","18 (12.6)","16 (22.5)","","",""
"efu_daysrrtstart (median [IQR])","","18.50 [13.00, 48.75]","23.00 [14.00, 54.00]","16.00 [11.00, 40.00]","0.320","nonnorm","81.0"
"efu_listingstatus (%)","0","136 (61.8)","126 (85.1)","10 (13.9)","<0.001","","0.5"
"","1","84 (38.2)","22 (14.9)","62 (86.1)","","",""
"efu_dayslisting (median [IQR])","","12.00 [6.00, 38.00]","51.00 [22.25, 138.75]","11.00 [6.00, 25.50]","0.002","nonnorm","61.5"
"efu_listing (%)","0","142 (68.3)","123 (89.8)","19 (26.8)","<0.001","","5.9"
"","1","66 (31.7)","14 (10.2)","52 (73.2)","","",""
"efu_dayswlremoval (median [IQR])","","32.50 [17.50, 79.25]","46.50 [30.00, 171.50]","28.50 [15.75, 51.75]","0.179","nonnorm","83.7"
"efu_lt (%)","0","153 (70.8)","133 (91.7)","20 (28.2)","<0.001","","2.3"
"","1","63 (29.2)","12 (8.3)","51 (71.8)","","",""
"efu_dayslt (median [IQR])","","30.00 [15.00, 67.50]","162.50 [107.00, 188.75]","24.00 [13.50, 40.00]","<0.001","nonnorm","71.5"
"efu_slkt (%)","0","50 (79.4)","9 (75.0)","41 (80.4)","0.985","","71.5"
"","1","13 (20.6)","3 (25.0)","10 (19.6)","","",""
"efu_kal (%)","0","56 (86.2)","12 (92.3)","44 (84.6)","0.788","","70.6"
"","1","9 (13.8)","1 (7.7)","8 (15.4)","","",""
"efu_dayskal (median [IQR])","","44.00 [27.00, 349.00]","16.00 [16.00, 16.00]","175.00 [30.00, 366.25]","0.121","nonnorm","95.9"
"efu_ltrrt (%)","0","42 (65.6)","10 (76.9)","32 (62.7)","0.526","","71.0"
"","1","22 (34.4)","3 (23.1)","19 (37.3)","","",""
"efu_ltna (median [IQR])","","136.00 [133.00, 140.00]","136.00 [134.00, 139.50]","136.00 [133.00, 140.00]","0.712","nonnorm","71.9"
"efu_lttbili (median [IQR])","","3.90 [2.38, 12.35]","2.80 [1.90, 3.90]","4.20 [2.65, 13.80]","0.103","nonnorm","71.9"
"efu_ltscr (median [IQR])","","1.90 [1.56, 3.12]","1.74 [1.32, 2.86]","2.50 [1.57, 3.11]","0.357","nonnorm","71.9"
"efu_lt_albumin (median [IQR])","","3.35 [3.00, 3.88]","2.70 [2.30, 3.60]","3.40 [3.05, 3.85]","0.076","nonnorm","71.9"
"efu_lt_inr (median [IQR])","","1.70 [1.50, 2.18]","1.70 [1.50, 1.77]","1.70 [1.50, 2.20]","0.677","nonnorm","71.9"
"efu_90_scr (median [IQR])","","1.51 [1.10, 2.12]","1.56 [1.10, 2.14]","1.46 [1.14, 2.08]","0.955","nonnorm","48.4"
"efu_90_rrt (%)","0","143 (92.3)","89 (92.7)","54 (91.5)","1.000","","29.9"
"","1","12 (7.7)","7 (7.3)","5 (8.5)","","",""
"efu_90_readmit (median [IQR])","","1.00 [0.00, 1.00]","0.00 [0.00, 1.00]","1.00 [0.00, 1.00]","0.265","nonnorm","29.4"
"efu_90lt_scr (median [IQR])","","1.55 [1.19, 2.17]","1.56 [1.36, 2.49]","1.55 [1.19, 1.98]","0.468","nonnorm","73.3"
"efu_90lt_rrt (%)","0","54 (88.5)","12 (85.7)","42 (89.4)","1.000","","72.4"
"","1","7 (11.5)","2 (14.3)","5 (10.6)","","",""
"efu_180_scr (median [IQR])","","1.33 [1.04, 2.13]","1.19 [0.94, 1.96]","1.66 [1.20, 2.20]","0.029","nonnorm","56.1"
"efu_180_rrt (%)","0","140 (95.9)","86 (97.7)","54 (93.1)","0.342","","33.9"
"","1","6 (4.1)","2 (2.3)","4 (6.9)","","",""
"efu_180_readmit (median [IQR])","","1.00 [0.00, 2.00]","1.00 [0.00, 2.00]","1.00 [0.00, 2.00]","0.431","nonnorm","31.7"
"efu_180lt_scr (median [IQR])","","1.50 [1.12, 2.08]","1.40 [1.25, 2.02]","1.53 [1.11, 2.07]","0.967","nonnorm","74.7"
"efu_180lt_rrt (%)","0","56 (91.8)","13 (92.9)","43 (91.5)","1.000","","72.4"
"","1","5 (8.2)","1 (7.1)","4 (8.5)","","",""
"efu_1yr_scr (median [IQR])","","1.40 [1.08, 1.88]","1.32 [1.04, 1.87]","1.45 [1.13, 2.02]","0.270","nonnorm","59.3"
"efu_1yr_rrt (%)","0","133 (95.7)","84 (96.6)","49 (94.2)","0.826","","37.1"
"","1","6 (4.3)","3 (3.4)","3 (5.8)","","",""
"efu_1yr_readmit (median [IQR])","","1.00 [0.00, 3.00]","1.00 [0.00, 3.00]","1.00 [0.00, 3.00]","0.737","nonnorm","34.4"
"efu_1yrlt_scr (median [IQR])","","1.43 [1.20, 1.91]","1.40 [1.20, 1.72]","1.43 [1.20, 2.00]","0.577","nonnorm","76.5"
"efu_1yrlt_rrt (%)","0","55 (94.8)","13 (100.0)","42 (93.3)","0.806","","73.8"
"","1","3 (5.2)","0 (0.0)","3 (6.7)","","",""
